cell (0,1);cell (2,1);cell (3,1);cell (4,1);cell (5,1);cell (6,1);cell (7,1);cell (8,1);cell (9,1);cell (10,1);cell (11,1);cell (12,1);cell (13,1);cell (14,1);cell (15,1);cell (16,1);cell (17,1);cell (18,1);cell (19,1);cell (20,1);cell (21,1);cell (22,1);cell (23,1);cell (24,1);cell (25,1);cell (26,1);cell (27,1);cell (28,1);cell (29,1);cell (30,1);cell (31,1);cell (32,1);cell (33,1);cell (34,1);cell (35,1);cell (36,1);cell (37,1);cell (38,1);cell (39,1);cell (40,1);cell (41,1);cell (42,1);cell (43,1);cell (44,1);cell (45,1);cell (46,1);cell (47,1);cell (48,1);cell (49,1);cell (50,1);cell (51,1);cell (52,1);cell (53,1);cell (54,1);cell (55,1);cell (56,1);cell (57,1);cell (58,1);cell (59,1);cell (60,1);cell (61,1);cell (62,1);cell (63,1);cell (64,1);cell (65,1);cell (66,1);cell (67,1);cell (68,1);cell (69,1);cell (70,1);cell (71,1);cell (72,1);cell (73,1);cell (74,1);cell (75,1);cell (76,1);cell (77,1);cell (78,1);cell (79,1);cell (80,1);cell (81,1);cell (82,1);cell (83,1);cell (84,1);cell (85,1);cell (86,1);cell (87,1);cell (88,1);cell (89,1);cell (90,1);cell (91,1);cell (92,1);cell (93,1);cell (94,1);cell (95,1);cell (96,1);cell (97,1);cell (98,1);cell (99,1);cell (100,1)
cell (0,84);cell (2,84);cell (3,84);cell (4,84);cell (5,84);cell (6,84);cell (7,84);cell (8,84);cell (9,84);cell (10,84);cell (11,84);cell (12,84);cell (13,84);cell (14,84);cell (15,84);cell (16,84);cell (17,84);cell (18,84);cell (19,84);cell (20,84);cell (21,84);cell (22,84);cell (23,84);cell (24,84);cell (25,84);cell (26,84);cell (27,84);cell (28,84);cell (29,84);cell (30,84);cell (31,84);cell (32,84);cell (33,84);cell (34,84);cell (35,84);cell (36,84);cell (37,84);cell (38,84);cell (39,84);cell (40,84);cell (41,84);cell (42,84);cell (43,84);cell (44,84);cell (45,84);cell (46,84);cell (47,84);cell (48,84);cell (49,84);cell (50,84);cell (51,84);cell (52,84);cell (53,84);cell (54,84);cell (55,84);cell (56,84);cell (57,84);cell (58,84);cell (59,84);cell (60,84);cell (61,84);cell (62,84);cell (63,84);cell (64,84);cell (65,84);cell (66,84);cell (67,84);cell (68,84);cell (69,84);cell (70,84);cell (71,84);cell (72,84);cell (73,84);cell (74,84);cell (75,84);cell (76,84);cell (77,84);cell (78,84);cell (79,84);cell (80,84);cell (81,84);cell (82,84);cell (83,84);cell (84,84);cell (85,84);cell (86,84);cell (87,84);cell (88,84);cell (89,84);cell (90,84);cell (91,84);cell (92,84);cell (93,84);cell (94,84);cell (95,84);cell (96,84);cell (97,84);cell (98,84);cell (99,84);cell (100,84)
cell (0,85);cell (2,85);cell (3,85);cell (4,85);cell (5,85);cell (6,85);cell (7,85);cell (8,85);cell (9,85);cell (10,85);cell (11,85);cell (12,85);cell (13,85);cell (14,85);cell (15,85);cell (16,85);cell (17,85);cell (18,85);cell (19,85);cell (20,85);cell (21,85);cell (22,85);cell (23,85);cell (24,85);cell (25,85);cell (26,85);cell (27,85);cell (28,85);cell (29,85);cell (30,85);cell (31,85);cell (32,85);cell (33,85);cell (34,85);cell (35,85);cell (36,85);cell (37,85);cell (38,85);cell (39,85);cell (40,85);cell (41,85);cell (42,85);cell (43,85);cell (44,85);cell (45,85);cell (46,85);cell (47,85);cell (48,85);cell (49,85);cell (50,85);cell (51,85);cell (52,85);cell (53,85);cell (54,85);cell (55,85);cell (56,85);cell (57,85);cell (58,85);cell (59,85);cell (60,85);cell (61,85);cell (62,85);cell (63,85);cell (64,85);cell (65,85);cell (66,85);cell (67,85);cell (68,85);cell (69,85);cell (70,85);cell (71,85);cell (72,85);cell (73,85);cell (74,85);cell (75,85);cell (76,85);cell (77,85);cell (78,85);cell (79,85);cell (80,85);cell (81,85);cell (82,85);cell (83,85);cell (84,85);cell (85,85);cell (86,85);cell (87,85);cell (88,85);cell (89,85);cell (90,85);cell (91,85);cell (92,85);cell (93,85);cell (94,85);cell (95,85);cell (96,85);cell (97,85);cell (98,85);cell (99,85);cell (100,85)
cell (0,86);cell (2,86);cell (3,86);cell (4,86);cell (5,86);cell (6,86);cell (7,86);cell (8,86);cell (9,86);cell (10,86);cell (11,86);cell (12,86);cell (13,86);cell (14,86);cell (15,86);cell (16,86);cell (17,86);cell (18,86);cell (19,86);cell (20,86);cell (21,86);cell (22,86);cell (23,86);cell (24,86);cell (25,86);cell (26,86);cell (27,86);cell (28,86);cell (29,86);cell (30,86);cell (31,86);cell (32,86);cell (33,86);cell (34,86);cell (35,86);cell (36,86);cell (37,86);cell (38,86);cell (39,86);cell (40,86);cell (41,86);cell (42,86);cell (43,86);cell (44,86);cell (45,86);cell (46,86);cell (47,86);cell (48,86);cell (49,86);cell (50,86);cell (51,86);cell (52,86);cell (53,86);cell (54,86);cell (55,86);cell (56,86);cell (57,86);cell (58,86);cell (59,86);cell (60,86);cell (61,86);cell (62,86);cell (63,86);cell (64,86);cell (65,86);cell (66,86);cell (67,86);cell (68,86);cell (69,86);cell (70,86);cell (71,86);cell (72,86);cell (73,86);cell (74,86);cell (75,86);cell (76,86);cell (77,86);cell (78,86);cell (79,86);cell (80,86);cell (81,86);cell (82,86);cell (83,86);cell (84,86);cell (85,86);cell (86,86);cell (87,86);cell (88,86);cell (89,86);cell (90,86);cell (91,86);cell (92,86);cell (93,86);cell (94,86);cell (95,86);cell (96,86);cell (97,86);cell (98,86);cell (99,86);cell (100,86)
cell (0,87);cell (2,87);cell (3,87);cell (4,87);cell (5,87);cell (6,87);cell (7,87);cell (8,87);cell (9,87);cell (10,87);cell (11,87);cell (12,87);cell (13,87);cell (14,87);cell (15,87);cell (16,87);cell (17,87);cell (18,87);cell (19,87);cell (20,87);cell (21,87);cell (22,87);cell (23,87);cell (24,87);cell (25,87);cell (26,87);cell (27,87);cell (28,87);cell (29,87);cell (30,87);cell (31,87);cell (32,87);cell (33,87);cell (34,87);cell (35,87);cell (36,87);cell (37,87);cell (38,87);cell (39,87);cell (40,87);cell (41,87);cell (42,87);cell (43,87);cell (44,87);cell (45,87);cell (46,87);cell (47,87);cell (48,87);cell (49,87);cell (50,87);cell (51,87);cell (52,87);cell (53,87);cell (54,87);cell (55,87);cell (56,87);cell (57,87);cell (58,87);cell (59,87);cell (60,87);cell (61,87);cell (62,87);cell (63,87);cell (64,87);cell (65,87);cell (66,87);cell (67,87);cell (68,87);cell (69,87);cell (70,87);cell (71,87);cell (72,87);cell (73,87);cell (74,87);cell (75,87);cell (76,87);cell (77,87);cell (78,87);cell (79,87);cell (80,87);cell (81,87);cell (82,87);cell (83,87);cell (84,87);cell (85,87);cell (86,87);cell (87,87);cell (88,87);cell (89,87);cell (90,87);cell (91,87);cell (92,87);cell (93,87);cell (94,87);cell (95,87);cell (96,87);cell (97,87);cell (98,87);cell (99,87);cell (100,87)
cell (0,88);cell (2,88);cell (3,88);cell (4,88);cell (5,88);cell (6,88);cell (7,88);cell (8,88);cell (9,88);cell (10,88);cell (11,88);cell (12,88);cell (13,88);cell (14,88);cell (15,88);cell (16,88);cell (17,88);cell (18,88);cell (19,88);cell (20,88);cell (21,88);cell (22,88);cell (23,88);cell (24,88);cell (25,88);cell (26,88);cell (27,88);cell (28,88);cell (29,88);cell (30,88);cell (31,88);cell (32,88);cell (33,88);cell (34,88);cell (35,88);cell (36,88);cell (37,88);cell (38,88);cell (39,88);cell (40,88);cell (41,88);cell (42,88);cell (43,88);cell (44,88);cell (45,88);cell (46,88);cell (47,88);cell (48,88);cell (49,88);cell (50,88);cell (51,88);cell (52,88);cell (53,88);cell (54,88);cell (55,88);cell (56,88);cell (57,88);cell (58,88);cell (59,88);cell (60,88);cell (61,88);cell (62,88);cell (63,88);cell (64,88);cell (65,88);cell (66,88);cell (67,88);cell (68,88);cell (69,88);cell (70,88);cell (71,88);cell (72,88);cell (73,88);cell (74,88);cell (75,88);cell (76,88);cell (77,88);cell (78,88);cell (79,88);cell (80,88);cell (81,88);cell (82,88);cell (83,88);cell (84,88);cell (85,88);cell (86,88);cell (87,88);cell (88,88);cell (89,88);cell (90,88);cell (91,88);cell (92,88);cell (93,88);cell (94,88);cell (95,88);cell (96,88);cell (97,88);cell (98,88);cell (99,88);cell (100,88)
cell (0,89);cell (2,89);cell (3,89);cell (4,89);cell (5,89);cell (6,89);cell (7,89);cell (8,89);cell (9,89);cell (10,89);cell (11,89);cell (12,89);cell (13,89);cell (14,89);cell (15,89);cell (16,89);cell (17,89);cell (18,89);cell (19,89);cell (20,89);cell (21,89);cell (22,89);cell (23,89);cell (24,89);cell (25,89);cell (26,89);cell (27,89);cell (28,89);cell (29,89);cell (30,89);cell (31,89);cell (32,89);cell (33,89);cell (34,89);cell (35,89);cell (36,89);cell (37,89);cell (38,89);cell (39,89);cell (40,89);cell (41,89);cell (42,89);cell (43,89);cell (44,89);cell (45,89);cell (46,89);cell (47,89);cell (48,89);cell (49,89);cell (50,89);cell (51,89);cell (52,89);cell (53,89);cell (54,89);cell (55,89);cell (56,89);cell (57,89);cell (58,89);cell (59,89);cell (60,89);cell (61,89);cell (62,89);cell (63,89);cell (64,89);cell (65,89);cell (66,89);cell (67,89);cell (68,89);cell (69,89);cell (70,89);cell (71,89);cell (72,89);cell (73,89);cell (74,89);cell (75,89);cell (76,89);cell (77,89);cell (78,89);cell (79,89);cell (80,89);cell (81,89);cell (82,89);cell (83,89);cell (84,89);cell (85,89);cell (86,89);cell (87,89);cell (88,89);cell (89,89);cell (90,89);cell (91,89);cell (92,89);cell (93,89);cell (94,89);cell (95,89);cell (96,89);cell (97,89);cell (98,89);cell (99,89);cell (100,89)
cell (0,90);cell (2,90);cell (3,90);cell (4,90);cell (5,90);cell (6,90);cell (7,90);cell (8,90);cell (9,90);cell (10,90);cell (11,90);cell (12,90);cell (13,90);cell (14,90);cell (15,90);cell (16,90);cell (17,90);cell (18,90);cell (19,90);cell (20,90);cell (21,90);cell (22,90);cell (23,90);cell (24,90);cell (25,90);cell (26,90);cell (27,90);cell (28,90);cell (29,90);cell (30,90);cell (31,90);cell (32,90);cell (33,90);cell (34,90);cell (35,90);cell (36,90);cell (37,90);cell (38,90);cell (39,90);cell (40,90);cell (41,90);cell (42,90);cell (43,90);cell (44,90);cell (45,90);cell (46,90);cell (47,90);cell (48,90);cell (49,90);cell (50,90);cell (51,90);cell (52,90);cell (53,90);cell (54,90);cell (55,90);cell (56,90);cell (57,90);cell (58,90);cell (59,90);cell (60,90);cell (61,90);cell (62,90);cell (63,90);cell (64,90);cell (65,90);cell (66,90);cell (67,90);cell (68,90);cell (69,90);cell (70,90);cell (71,90);cell (72,90);cell (73,90);cell (74,90);cell (75,90);cell (76,90);cell (77,90);cell (78,90);cell (79,90);cell (80,90);cell (81,90);cell (82,90);cell (83,90);cell (84,90);cell (85,90);cell (86,90);cell (87,90);cell (88,90);cell (89,90);cell (90,90);cell (91,90);cell (92,90);cell (93,90);cell (94,90);cell (95,90);cell (96,90);cell (97,90);cell (98,90);cell (99,90);cell (100,90)
cell (0,91);cell (2,91);cell (3,91);cell (4,91);cell (5,91);cell (6,91);cell (7,91);cell (8,91);cell (9,91);cell (10,91);cell (11,91);cell (12,91);cell (13,91);cell (14,91);cell (15,91);cell (16,91);cell (17,91);cell (18,91);cell (19,91);cell (20,91);cell (21,91);cell (22,91);cell (23,91);cell (24,91);cell (25,91);cell (26,91);cell (27,91);cell (28,91);cell (29,91);cell (30,91);cell (31,91);cell (32,91);cell (33,91);cell (34,91);cell (35,91);cell (36,91);cell (37,91);cell (38,91);cell (39,91);cell (40,91);cell (41,91);cell (42,91);cell (43,91);cell (44,91);cell (45,91);cell (46,91);cell (47,91);cell (48,91);cell (49,91);cell (50,91);cell (51,91);cell (52,91);cell (53,91);cell (54,91);cell (55,91);cell (56,91);cell (57,91);cell (58,91);cell (59,91);cell (60,91);cell (61,91);cell (62,91);cell (63,91);cell (64,91);cell (65,91);cell (66,91);cell (67,91);cell (68,91);cell (69,91);cell (70,91);cell (71,91);cell (72,91);cell (73,91);cell (74,91);cell (75,91);cell (76,91);cell (77,91);cell (78,91);cell (79,91);cell (80,91);cell (81,91);cell (82,91);cell (83,91);cell (84,91);cell (85,91);cell (86,91);cell (87,91);cell (88,91);cell (89,91);cell (90,91);cell (91,91);cell (92,91);cell (93,91);cell (94,91);cell (95,91);cell (96,91);cell (97,91);cell (98,91);cell (99,91);cell (100,91)
cell (0,92);cell (2,92);cell (3,92);cell (4,92);cell (5,92);cell (6,92);cell (7,92);cell (8,92);cell (9,92);cell (10,92);cell (11,92);cell (12,92);cell (13,92);cell (14,92);cell (15,92);cell (16,92);cell (17,92);cell (18,92);cell (19,92);cell (20,92);cell (21,92);cell (22,92);cell (23,92);cell (24,92);cell (25,92);cell (26,92);cell (27,92);cell (28,92);cell (29,92);cell (30,92);cell (31,92);cell (32,92);cell (33,92);cell (34,92);cell (35,92);cell (36,92);cell (37,92);cell (38,92);cell (39,92);cell (40,92);cell (41,92);cell (42,92);cell (43,92);cell (44,92);cell (45,92);cell (46,92);cell (47,92);cell (48,92);cell (49,92);cell (50,92);cell (51,92);cell (52,92);cell (53,92);cell (54,92);cell (55,92);cell (56,92);cell (57,92);cell (58,92);cell (59,92);cell (60,92);cell (61,92);cell (62,92);cell (63,92);cell (64,92);cell (65,92);cell (66,92);cell (67,92);cell (68,92);cell (69,92);cell (70,92);cell (71,92);cell (72,92);cell (73,92);cell (74,92);cell (75,92);cell (76,92);cell (77,92);cell (78,92);cell (79,92);cell (80,92);cell (81,92);cell (82,92);cell (83,92);cell (84,92);cell (85,92);cell (86,92);cell (87,92);cell (88,92);cell (89,92);cell (90,92);cell (91,92);cell (92,92);cell (93,92);cell (94,92);cell (95,92);cell (96,92);cell (97,92);cell (98,92);cell (99,92);cell (100,92)
cell (0,93);cell (2,93);cell (3,93);cell (4,93);cell (5,93);cell (6,93);cell (7,93);cell (8,93);cell (9,93);cell (10,93);cell (11,93);cell (12,93);cell (13,93);cell (14,93);cell (15,93);cell (16,93);cell (17,93);cell (18,93);cell (19,93);cell (20,93);cell (21,93);cell (22,93);cell (23,93);cell (24,93);cell (25,93);cell (26,93);cell (27,93);cell (28,93);cell (29,93);cell (30,93);cell (31,93);cell (32,93);cell (33,93);cell (34,93);cell (35,93);cell (36,93);cell (37,93);cell (38,93);cell (39,93);cell (40,93);cell (41,93);cell (42,93);cell (43,93);cell (44,93);cell (45,93);cell (46,93);cell (47,93);cell (48,93);cell (49,93);cell (50,93);cell (51,93);cell (52,93);cell (53,93);cell (54,93);cell (55,93);cell (56,93);cell (57,93);cell (58,93);cell (59,93);cell (60,93);cell (61,93);cell (62,93);cell (63,93);cell (64,93);cell (65,93);cell (66,93);cell (67,93);cell (68,93);cell (69,93);cell (70,93);cell (71,93);cell (72,93);cell (73,93);cell (74,93);cell (75,93);cell (76,93);cell (77,93);cell (78,93);cell (79,93);cell (80,93);cell (81,93);cell (82,93);cell (83,93);cell (84,93);cell (85,93);cell (86,93);cell (87,93);cell (88,93);cell (89,93);cell (90,93);cell (91,93);cell (92,93);cell (93,93);cell (94,93);cell (95,93);cell (96,93);cell (97,93);cell (98,93);cell (99,93);cell (100,93)
cell (0,94);cell (2,94);cell (3,94);cell (4,94);cell (5,94);cell (6,94);cell (7,94);cell (8,94);cell (9,94);cell (10,94);cell (11,94);cell (12,94);cell (13,94);cell (14,94);cell (15,94);cell (16,94);cell (17,94);cell (18,94);cell (19,94);cell (20,94);cell (21,94);cell (22,94);cell (23,94);cell (24,94);cell (25,94);cell (26,94);cell (27,94);cell (28,94);cell (29,94);cell (30,94);cell (31,94);cell (32,94);cell (33,94);cell (34,94);cell (35,94);cell (36,94);cell (37,94);cell (38,94);cell (39,94);cell (40,94);cell (41,94);cell (42,94);cell (43,94);cell (44,94);cell (45,94);cell (46,94);cell (47,94);cell (48,94);cell (49,94);cell (50,94);cell (51,94);cell (52,94);cell (53,94);cell (54,94);cell (55,94);cell (56,94);cell (57,94);cell (58,94);cell (59,94);cell (60,94);cell (61,94);cell (62,94);cell (63,94);cell (64,94);cell (65,94);cell (66,94);cell (67,94);cell (68,94);cell (69,94);cell (70,94);cell (71,94);cell (72,94);cell (73,94);cell (74,94);cell (75,94);cell (76,94);cell (77,94);cell (78,94);cell (79,94);cell (80,94);cell (81,94);cell (82,94);cell (83,94);cell (84,94);cell (85,94);cell (86,94);cell (87,94);cell (88,94);cell (89,94);cell (90,94);cell (91,94);cell (92,94);cell (93,94);cell (94,94);cell (95,94);cell (96,94);cell (97,94);cell (98,94);cell (99,94);cell (100,94)
cell (0,95);cell (2,95);cell (3,95);cell (4,95);cell (5,95);cell (6,95);cell (7,95);cell (8,95);cell (9,95);cell (10,95);cell (11,95);cell (12,95);cell (13,95);cell (14,95);cell (15,95);cell (16,95);cell (17,95);cell (18,95);cell (19,95);cell (20,95);cell (21,95);cell (22,95);cell (23,95);cell (24,95);cell (25,95);cell (26,95);cell (27,95);cell (28,95);cell (29,95);cell (30,95);cell (31,95);cell (32,95);cell (33,95);cell (34,95);cell (35,95);cell (36,95);cell (37,95);cell (38,95);cell (39,95);cell (40,95);cell (41,95);cell (42,95);cell (43,95);cell (44,95);cell (45,95);cell (46,95);cell (47,95);cell (48,95);cell (49,95);cell (50,95);cell (51,95);cell (52,95);cell (53,95);cell (54,95);cell (55,95);cell (56,95);cell (57,95);cell (58,95);cell (59,95);cell (60,95);cell (61,95);cell (62,95);cell (63,95);cell (64,95);cell (65,95);cell (66,95);cell (67,95);cell (68,95);cell (69,95);cell (70,95);cell (71,95);cell (72,95);cell (73,95);cell (74,95);cell (75,95);cell (76,95);cell (77,95);cell (78,95);cell (79,95);cell (80,95);cell (81,95);cell (82,95);cell (83,95);cell (84,95);cell (85,95);cell (86,95);cell (87,95);cell (88,95);cell (89,95);cell (90,95);cell (91,95);cell (92,95);cell (93,95);cell (94,95);cell (95,95);cell (96,95);cell (97,95);cell (98,95);cell (99,95);cell (100,95)
cell (0,96);cell (2,96);cell (3,96);cell (4,96);cell (5,96);cell (6,96);cell (7,96);cell (8,96);cell (9,96);cell (10,96);cell (11,96);cell (12,96);cell (13,96);cell (14,96);cell (15,96);cell (16,96);cell (17,96);cell (18,96);cell (19,96);cell (20,96);cell (21,96);cell (22,96);cell (23,96);cell (24,96);cell (25,96);cell (26,96);cell (27,96);cell (28,96);cell (29,96);cell (30,96);cell (31,96);cell (32,96);cell (33,96);cell (34,96);cell (35,96);cell (36,96);cell (37,96);cell (38,96);cell (39,96);cell (40,96);cell (41,96);cell (42,96);cell (43,96);cell (44,96);cell (45,96);cell (46,96);cell (47,96);cell (48,96);cell (49,96);cell (50,96);cell (51,96);cell (52,96);cell (53,96);cell (54,96);cell (55,96);cell (56,96);cell (57,96);cell (58,96);cell (59,96);cell (60,96);cell (61,96);cell (62,96);cell (63,96);cell (64,96);cell (65,96);cell (66,96);cell (67,96);cell (68,96);cell (69,96);cell (70,96);cell (71,96);cell (72,96);cell (73,96);cell (74,96);cell (75,96);cell (76,96);cell (77,96);cell (78,96);cell (79,96);cell (80,96);cell (81,96);cell (82,96);cell (83,96);cell (84,96);cell (85,96);cell (86,96);cell (87,96);cell (88,96);cell (89,96);cell (90,96);cell (91,96);cell (92,96);cell (93,96);cell (94,96);cell (95,96);cell (96,96);cell (97,96);cell (98,96);cell (99,96);cell (100,96)
cell (0,97);cell (2,97);cell (3,97);cell (4,97);cell (5,97);cell (6,97);cell (7,97);cell (8,97);cell (9,97);cell (10,97);cell (11,97);cell (12,97);cell (13,97);cell (14,97);cell (15,97);cell (16,97);cell (17,97);cell (18,97);cell (19,97);cell (20,97);cell (21,97);cell (22,97);cell (23,97);cell (24,97);cell (25,97);cell (26,97);cell (27,97);cell (28,97);cell (29,97);cell (30,97);cell (31,97);cell (32,97);cell (33,97);cell (34,97);cell (35,97);cell (36,97);cell (37,97);cell (38,97);cell (39,97);cell (40,97);cell (41,97);cell (42,97);cell (43,97);cell (44,97);cell (45,97);cell (46,97);cell (47,97);cell (48,97);cell (49,97);cell (50,97);cell (51,97);cell (52,97);cell (53,97);cell (54,97);cell (55,97);cell (56,97);cell (57,97);cell (58,97);cell (59,97);cell (60,97);cell (61,97);cell (62,97);cell (63,97);cell (64,97);cell (65,97);cell (66,97);cell (67,97);cell (68,97);cell (69,97);cell (70,97);cell (71,97);cell (72,97);cell (73,97);cell (74,97);cell (75,97);cell (76,97);cell (77,97);cell (78,97);cell (79,97);cell (80,97);cell (81,97);cell (82,97);cell (83,97);cell (84,97);cell (85,97);cell (86,97);cell (87,97);cell (88,97);cell (89,97);cell (90,97);cell (91,97);cell (92,97);cell (93,97);cell (94,97);cell (95,97);cell (96,97);cell (97,97);cell (98,97);cell (99,97);cell (100,97)
cell (0,98);cell (2,98);cell (3,98);cell (4,98);cell (5,98);cell (6,98);cell (7,98);cell (8,98);cell (9,98);cell (10,98);cell (11,98);cell (12,98);cell (13,98);cell (14,98);cell (15,98);cell (16,98);cell (17,98);cell (18,98);cell (19,98);cell (20,98);cell (21,98);cell (22,98);cell (23,98);cell (24,98);cell (25,98);cell (26,98);cell (27,98);cell (28,98);cell (29,98);cell (30,98);cell (31,98);cell (32,98);cell (33,98);cell (34,98);cell (35,98);cell (36,98);cell (37,98);cell (38,98);cell (39,98);cell (40,98);cell (41,98);cell (42,98);cell (43,98);cell (44,98);cell (45,98);cell (46,98);cell (47,98);cell (48,98);cell (49,98);cell (50,98);cell (51,98);cell (52,98);cell (53,98);cell (54,98);cell (55,98);cell (56,98);cell (57,98);cell (58,98);cell (59,98);cell (60,98);cell (61,98);cell (62,98);cell (63,98);cell (64,98);cell (65,98);cell (66,98);cell (67,98);cell (68,98);cell (69,98);cell (70,98);cell (71,98);cell (72,98);cell (73,98);cell (74,98);cell (75,98);cell (76,98);cell (77,98);cell (78,98);cell (79,98);cell (80,98);cell (81,98);cell (82,98);cell (83,98);cell (84,98);cell (85,98);cell (86,98);cell (87,98);cell (88,98);cell (89,98);cell (90,98);cell (91,98);cell (92,98);cell (93,98);cell (94,98);cell (95,98);cell (96,98);cell (97,98);cell (98,98);cell (99,98);cell (100,98)
cell (0,99);cell (2,99);cell (3,99);cell (4,99);cell (5,99);cell (6,99);cell (7,99);cell (8,99);cell (9,99);cell (10,99);cell (11,99);cell (12,99);cell (13,99);cell (14,99);cell (15,99);cell (16,99);cell (17,99);cell (18,99);cell (19,99);cell (20,99);cell (21,99);cell (22,99);cell (23,99);cell (24,99);cell (25,99);cell (26,99);cell (27,99);cell (28,99);cell (29,99);cell (30,99);cell (31,99);cell (32,99);cell (33,99);cell (34,99);cell (35,99);cell (36,99);cell (37,99);cell (38,99);cell (39,99);cell (40,99);cell (41,99);cell (42,99);cell (43,99);cell (44,99);cell (45,99);cell (46,99);cell (47,99);cell (48,99);cell (49,99);cell (50,99);cell (51,99);cell (52,99);cell (53,99);cell (54,99);cell (55,99);cell (56,99);cell (57,99);cell (58,99);cell (59,99);cell (60,99);cell (61,99);cell (62,99);cell (63,99);cell (64,99);cell (65,99);cell (66,99);cell (67,99);cell (68,99);cell (69,99);cell (70,99);cell (71,99);cell (72,99);cell (73,99);cell (74,99);cell (75,99);cell (76,99);cell (77,99);cell (78,99);cell (79,99);cell (80,99);cell (81,99);cell (82,99);cell (83,99);cell (84,99);cell (85,99);cell (86,99);cell (87,99);cell (88,99);cell (89,99);cell (90,99);cell (91,99);cell (92,99);cell (93,99);cell (94,99);cell (95,99);cell (96,99);cell (97,99);cell (98,99);cell (99,99);cell (100,99)
cell (0,100);cell (2,100);cell (3,100);cell (4,100);cell (5,100);cell (6,100);cell (7,100);cell (8,100);cell (9,100);cell (10,100);cell (11,100);cell (12,100);cell (13,100);cell (14,100);cell (15,100);cell (16,100);cell (17,100);cell (18,100);cell (19,100);cell (20,100);cell (21,100);cell (22,100);cell (23,100);cell (24,100);cell (25,100);cell (26,100);cell (27,100);cell (28,100);cell (29,100);cell (30,100);cell (31,100);cell (32,100);cell (33,100);cell (34,100);cell (35,100);cell (36,100);cell (37,100);cell (38,100);cell (39,100);cell (40,100);cell (41,100);cell (42,100);cell (43,100);cell (44,100);cell (45,100);cell (46,100);cell (47,100);cell (48,100);cell (49,100);cell (50,100);cell (51,100);cell (52,100);cell (53,100);cell (54,100);cell (55,100);cell (56,100);cell (57,100);cell (58,100);cell (59,100);cell (60,100);cell (61,100);cell (62,100);cell (63,100);cell (64,100);cell (65,100);cell (66,100);cell (67,100);cell (68,100);cell (69,100);cell (70,100);cell (71,100);cell (72,100);cell (73,100);cell (74,100);cell (75,100);cell (76,100);cell (77,100);cell (78,100);cell (79,100);cell (80,100);cell (81,100);cell (82,100);cell (83,100);cell (84,100);cell (85,100);cell (86,100);cell (87,100);cell (88,100);cell (89,100);cell (90,100);cell (91,100);cell (92,100);cell (93,100);cell (94,100);cell (95,100);cell (96,100);cell (97,100);cell (98,100);cell (99,100);cell (100,100)
